fund_name,stock_url,Stock_Invested_in,Sector,Value_Mn,pct_of_total_holdings,1m_change,1Y_Highest_Holding,1Y_Lowest_Holding,Quantity,1M_Change_in_Qty,Stock Invested in,1Y_Highest Holding,1Y_Lowest Holding,1m_change1
LIC MF Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/narayanahrudayalaya/NH,Narayana Hrudayalaya Ltd.,Hospital,39.6,2.33%,0.10%,3.67% (Jul 2023),2.23% (Aug 2023),36.52 k,0.00,,,,0.1
Union Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/engineering-heavy/prajindustries/PI17,Praj Industries Ltd.,Industrial products,254.9,2.31%,0.31%,2.31% (Sep 2023),1.43% (Jan 2023),4.35 L,0.00,,,,0.31
HDFC Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/cables-power-others/keiindustries/KEI,KEI Industries Ltd.,Cables - electricals,5214.7,2.31%,0.03%,2.57% (Jun 2023),2.11% (Dec 2022),19.26 L,-0.50 L,,,,0.03
ICICI Prudential Smallcap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-civil/mahindralifespacedevelopers/MLD,Mahindra Lifespace Developers Ltd.,"Residential, commercial projects",1616.6,2.31%,0.05%,2.79% (Sep 2022),1.98% (Dec 2022),28.49 L,0.00,,,,0.05
Mahindra Manulife Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icra/ICR,ICRA Ltd.,Ratings,485.8,2.26%,0.25%,2.26% (Sep 2023),0% (Oct 2022),88.61 k,35.50 k,,,,0.25
ICICI Prudential Smallcap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/mindacorporation/MC23,Minda Corporation Ltd.,Auto components & equipments,1369.8,2.26%,0.30%,2.26% (Sep 2023),0% (Oct 2022),41.13 L,-0.87 L,,,,0.3
UTI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/ceramics-granite/cerasanitaryware/CS18,Cera Sanitaryware Ltd.,Sanitary ware,702.7,2.25%,0.37%,2.25% (Aug 2023),1.6% (Dec 2022),73.91 k,0,,,,0.37
Invesco India Smallcap Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/household-personal-products/safariindustriesindia/SII01,Safari Industries (India) Ltd.,Plastic products - consumer,594.5,2.25%,0.35%,2.25% (Aug 2023),0.79% (Sep 2022),1.61 L,0.00,,,,0.35
Invesco India Smallcap Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries-castingsforgings/cieautomotiveindia/MF19,CIE AUTOMOTIVE INDIA Ltd.,Auto components & equipments,593.7,2.25%,2.25%,2.25% (Aug 2023),0% (Sep 2022),11.36 L,54.47 k,,,,2.25
Edelweiss Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amberenterprisesindialimited/AEI01,Amber Enterprises India Ltd.,Household appliances,529.5,2.24%,0.25%,2.24% (Aug 2023),0.62% (Apr 2023),1.83 L,7.61 k,,,,0.25
HSBC Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/it-services-consulting/kpittechnologies/KPITT54265,KPIT Technologies Ltd.,Computers - software & consulting,2573.1,2.23%,0.03%,2.43% (May 2023),1.51% (Sep 2022),21.88 L,0.00,,,,0.03
Invesco India Smallcap Fund - Direct - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hospital-healthcare-services/globalhealth/GH03,Global Health Ltd.,Hospital,585.4,2.22%,1.03%,2.22% (Aug 2023),0% (Sep 2022),8.25 L,4.16 L,,,,1.03
DSP Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/household-personal-products/safariindustriesindia/SII01,Safari Industries (India) Ltd.,Plastic products - consumer,2674.0,2.21%,0.13%,2.21% (Sep 2023),1.21% (Nov 2022),6.83 L,0.00,,,,0.13
Edelweiss Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hospital-healthcare-services/krishnainstitutemedicalsciences/KIo01,Krishna Institute of Medical Sciences Ltd.,Hospital,521.9,2.21%,0.69%,2.21% (Aug 2023),0% (Sep 2022),2.61 L,90.93 k,,,,0.69
ITI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-civil/ncc/NCC01,NCC Ltd.,Civil construction,319.8,2.21%,0.05%,2.21% (Aug 2023),0% (Sep 2022),18.85 L,0.00,,,,0.05
DSP Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/eclerxservices/eS06,eClerx Services Ltd.,Business process outsourcing (bpo)/ knowledge process outsourcing (kpo),2666.0,2.20%,0.21%,2.44% (Jan 2023),1.99% (Aug 2023),14.80 L,0.00,,,,0.21
Canara Robeco Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/aerospace-defence/bharatelectronics/BE03,Bharat Electronics Ltd.,Aerospace & defense,1712.6,2.19%,0.14%,2.19% (Sep 2023),1.33% (Apr 2023),1.24 Cr,7.00 L,,,,0.14
Aditya Birla Sun Life Small cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/hitachienergyindia/APP03,ABB Power Products and Systems India Ltd.,Heavy electrical equipment,982.1,2.18%,0.06%,2.62% (Sep 2022),2.12% (Jul 2023),2.23 L,0.00,,,,0.06
Sundaram Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/cyient/IE07,Cyient Ltd.,It enabled services,560.2,2.17%,0.13%,2.19% (Jun 2023),1.34% (Oct 2022),3.42 L,0.00,,,,0.13
Edelweiss Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/federalbank/FB,Federal Bank Ltd.,Private sector bank,509.8,2.16%,0.24%,2.25% (Feb 2023),1.86% (Jun 2023),35.42 L,5.11 L,,,,0.24
Bandhan Emerging Businesses Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,Power Finance Corporation Ltd.,Financial institution,433.2,2.15%,0.06%,2.15% (Aug 2023),0% (Sep 2022),16.65 L,1.65 L,,,,0.06
ICICI Prudential Smallcap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/pncinfratech/PI26,PNC Infratech Ltd.,Civil construction,1303.5,2.15%,0.40%,2.62% (Jan 2023),1.75% (Aug 2023),35.66 L,-1.24 L,,,,0.4
Kotak Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE,Blue Dart Express Ltd.,Logistics solution provider,2664.4,2.14%,0.16%,2.21% (Dec 2022),1.87% (Jan 2023),3.98 L,11.25 k,,,,0.16
UTI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/hotels/chalethotels/CH03,Chalet Hotels Ltd.,Hotels & resorts,658.0,2.10%,0.14%,2.1% (Aug 2023),1.75% (Dec 2022),11.94 L,0,,,,0.14
Mahindra Manulife Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,Cholamandalam Financial Holdings Ltd.,Investment company,449.6,2.09%,0.54%,2.3% (Jun 2023),0% (Oct 2022),3.87 L,1.44 L,,,,0.54
Mahindra Manulife Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/sugar/triveniengineeringindustries/TE10,Triveni Engineering & Industries Ltd.,Sugar,448.0,2.08%,0.39%,2.39% (Apr 2023),0% (Oct 2022),11.80 L,3.50 L,,,,0.39
DSP Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/household-personal-products/safariindustriesindia/SII01,Safari Industries (India) Ltd.,Plastic products - consumer,2516.1,2.08%,0.40%,2.08% (Aug 2023),1.21% (Nov 2022),6.83 L,0.00,,,,0.4
HSBC Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-civil/mahindralifespacedevelopers/MLD,Mahindra Lifespace Developers Ltd.,"Residential, commercial projects",2407.5,2.08%,0.04%,2.38% (Sep 2022),1.7% (Jan 2023),42.42 L,0.00,,,,0.04
Canara Robeco Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaynestechnologyindia/KTI,Kaynes Technology India Private Ltd.,Industrial products,1619.0,2.07%,0.20%,2.07% (Sep 2023),0% (Oct 2022),7.04 L,0.00,,,,0.2
Aditya Birla Sun Life Small cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/diversified/starhealthalliedinsurancecompany/SHA,Star Health and Allied Insurance Co Ltd.,General insurance,928.8,2.06%,0.71%,2.06% (Aug 2023),0% (Sep 2022),14.61 L,5.77 L,,,,0.71
Invesco India Smallcap Fund - Direct - Growth,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01,JB Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,566.4,2.05%,2.05%,2.05% (Sep 2023),0% (Oct 2022),3.82 L,3.82 L,,,,2.05
Kotak Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/vguardindustries/VI02,V-Guard Industries Ltd.,Household appliances,2495.6,2.03%,0.11%,2.38% (Dec 2022),1.92% (Jul 2023),79.39 L,88.09 k,,,,0.11
Mahindra Manulife Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icra/ICR,ICRA Ltd.,Ratings,310.7,2.01%,0.31%,2.14% (Mar 2023),0% (Sep 2022),53.11 k,20.64 k,,,,0.31
Mahindra Manulife Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/textiles-denim/arvind/A18,Arvind Ltd.,Garments & apparels,308.9,2.00%,0.03%,2% (Aug 2023),0% (Sep 2022),17.55 L,2.20 L,,,,0.03
ITI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/it-services-consulting/kpittechnologies/KPITT54265,KPIT Technologies Ltd.,Computers - software & consulting,286.9,1.98%,0.07%,1.98% (Aug 2023),1.27% (Apr 2023),2.44 L,0.00,,,,0.07
Canara Robeco Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/titagarhrailsystems/TW04,Titagarh Wagons,Railway wagons,1490.5,1.97%,0.34%,1.97% (Aug 2023),0% (Sep 2022),18.33 L,50.00 k,,,,0.34
Canara Robeco Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/multicommodityexchangeindia/MCE,Multi Commodity Exchange Of India Ltd.,Exchange and data platform,1527.0,1.95%,0.40%,2.14% (Jan 2023),1.55% (Aug 2023),7.45 L,50.00 k,,,,0.4
Mahindra Manulife Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/firstsourcesolutions/FS07,Firstsource Solutions Ltd.,It enabled services,409.7,1.91%,0.75%,1.91% (Sep 2023),0% (Oct 2022),24.45 L,13.50 L,,,,0.75
Canara Robeco Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaynestechnologyindia/KTI,Kaynes Technology India Private Ltd.,Industrial products,1417.7,1.87%,0.08%,1.87% (Aug 2023),0% (Sep 2022),7.04 L,0.00,,,,0.08
Aditya Birla Sun Life Small cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/footwear/campusactivewear/CA07,Campus Activewear Ltd.,Footwear,832.9,1.85%,0.42%,2.27% (Sep 2022),1.42% (Jul 2023),27.60 L,8.00 L,,,,0.42
Mahindra Manulife Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/mindacorporation/MC23,Minda Corporation Ltd.,Auto components & equipments,279.4,1.81%,0.81%,1.81% (Aug 2023),0% (Sep 2022),8.54 L,5.04 L,,,,0.81
Aditya Birla Sun Life Small cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/textiles-readymade-apparels/gokaldasexports/GE05,Gokaldas Exports Ltd.,Garments & apparels,816.0,1.81%,0.40%,1.81% (Aug 2023),0% (Sep 2022),10.33 L,-0.60 L,,,,0.4
Canara Robeco Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/media-entertainment/pvrinox/PVR,PVR Ltd.,"Film production, distribution & exhibition",1333.4,1.76%,0.25%,1.76% (Aug 2023),0.87% (Dec 2022),7.45 L,50.00 k,,,,0.25
Bandhan Emerging Businesses Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/plastics/mayuruniquoters/MU,Mayur Uniquoters Limited,Leather and leather products,351.6,1.75%,0.01%,1.86% (Jun 2023),1.49% (Dec 2022),6.27 L,0.00,,,,0.01
Canara Robeco Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/vguardindustries/VI02,V-Guard Industries Ltd.,Household appliances,1321.0,1.74%,0.21%,1.94% (Dec 2022),1.28% (Sep 2022),42.02 L,3.52 L,,,,0.21
Aditya Birla Sun Life Small cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/icicisecuritiesltd/ISL04,ICICI Securities Ltd.,Stockbroking & allied,756.9,1.68%,0.99%,1.68% (Aug 2023),0% (Sep 2022),12.11 L,7.63 L,,,,0.99
Bandhan Emerging Businesses Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/computers-software-medium-small/eclerxservices/eS06,eClerx Services Ltd.,Business process outsourcing (bpo)/ knowledge process outsourcing (kpo),360.8,1.67%,0.06%,1.86% (Jun 2023),1.56% (Dec 2022),2.00 L,0.00,,,,0.06
Nippon India Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/aparindustries/AI40,Apar Industries Ltd.,Other electrical equipment,6135.5,1.64%,0.01%,1.64% (Sep 2023),0.8% (Nov 2022),11.20 L,-0.71 L,,,,0.01
Nippon India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/aparindustries/AI40,Apar Industries Ltd.,Other electrical equipment,5967.8,1.63%,0.27%,1.63% (Aug 2023),0.76% (Sep 2022),11.92 L,-0.51 L,,,,0.27
Bandhan Emerging Businesses Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cholamandalamfinancialholdings/TII,Cholamandalam Financial Holdings Ltd.,Investment company,349.7,1.62%,0.16%,1.62% (Sep 2023),0% (Oct 2022),3.01 L,2.17 k,,,,0.16
ITI Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01,JB Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,260.5,1.58%,1.58%,1.58% (Sep 2023),0% (Oct 2022),1.76 L,1.76 L,,,,1.58
Bandhan Emerging Businesses Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/syrmasgstechnology/SST06,Syrma SGS Technology Ltd.,Industrial products,339.1,1.57%,0.08%,1.68% (Jul 2023),1.08% (Oct 2022),5.54 L,0.00,,,,0.08
Nippon India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/it-services-consulting/kpittechnologies/KPITT54265,KPIT Technologies Ltd.,Computers - software & consulting,5593.7,1.53%,0.04%,2.08% (Sep 2022),1.49% (Jul 2023),47.57 L,0.00,,,,0.04
Bandhan Emerging Businesses Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/textiles-denim/arvind/A18,Arvind Ltd.,Garments & apparels,323.9,1.50%,0.18%,1.5% (Sep 2023),0% (Oct 2022),18.66 L,3.50 L,,,,0.18
ITI Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/finance-housing/idfc/IDF,Infrastructure Development Finance Company Limited,Holding company,247.7,1.50%,0.12%,1.51% (Jan 2023),1.14% (Feb 2023),19.22 L,2.78 L,,,,0.12
Bandhan Emerging Businesses Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/sencogold/SG14,Senco Gold Ltd.,"Gems, jewellery and watches",321.1,1.49%,0.49%,1.49% (Sep 2023),0% (Oct 2022),5.21 L,26.57 k,,,,0.49
ITI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/computers-software/cyient/IE07,Cyient Ltd.,It enabled services,212.1,1.46%,0.09%,1.98% (Sep 2022),1% (Oct 2022),1.30 L,0.00,,,,0.09
ITI Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/indexfutures/nifty/9,J.b. Chemicals & Pharmaceuticals Ltd.,Pharmaceuticals,207.7,1.43%,0.07%,1.43% (Aug 2023),0% (Sep 2022),75.04 k,0.00,,,,0.07
Nippon India Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/niitlearningsystems/NLS,NIIT Learning Systems Ltd.,Education,4776.0,1.28%,0.10%,1.28% (Sep 2023),0% (Oct 2022),1.13 Cr,0.00,,,,0.1
Nippon India Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/bharatheavyelectricals/BHE,Bharat Heavy Electricals Ltd.,Heavy electrical equipment,4758.3,1.27%,0.06%,1.27% (Sep 2023),0.51% (Oct 2022),3.63 Cr,0.00,,,,0.06
Nippon India Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/india/stockpricequote/chemicals/elantasbeckindia/EBI,Elantas Beck India Ltd.,Specialty chemicals,4725.8,1.26%,0.06%,1.31% (Feb 2023),0.69% (Nov 2022),6.15 L,0.00,,,,0.06
Nippon India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/bharatheavyelectricals/BHE,Bharat Heavy Electricals Ltd.,Heavy electrical equipment,4404.2,1.21%,0.11%,1.21% (Aug 2023),0.43% (Sep 2022),3.63 Cr,0.00,,,,0.11
Nippon India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/chemicals/elantasbeckindia/EBI,Elantas Beck India Ltd.,Specialty chemicals,4388.5,1.20%,0.07%,1.31% (Feb 2023),0.69% (Nov 2022),6.15 L,0.00,,,,0.07
Nippon India Small Cap Fund - Direct Plan - GrowthSmall Cap Fund,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/niitlearningsystems/NLS,NIIT Learning Systems Ltd.,Education,4320.4,1.18%,0.19%,1.18% (Aug 2023),0% (Sep 2022),1.13 Cr,2.09 L,,,,0.19
